From,to,quantity,time,location,Flownumberfrom,Flownumberto,ParentProcessFlowfrom,ParentProcessFlowto,Subprocessnumbersfrom,Subprocessnumbersto
Overburden_and_interburden_owp,Gravel_for_fill,nan,2019,England,41,30,0,0,nan,nan
Overburden_and_interburden_owp,Crushed_Rock_for_fill,nan,2019,England,41,31,0,0,nan,nan


#Scalpings_and_Fines_owp,Recycled_Processing/Production_Waste,nan,2019,England,40,11,0,0,nan,nan


Deconstruction,Recycled_Deconstruction_Material,4050,2019,England,36,11,0,0,nan,nan


Extraction,Sand_and_Gravel_for_fill,nan,2019,England,1,19,1,1,2-3-4-5-6,29-30
Sand_ex,Sand_for_fill,nan,2019,England,3,29,0,0,nan,nan
Gravel_ex,Sand_for_fill,0,2019,England,4,29,0,0,nan,nan
Crushed_Rock_ex,Sand_for_fill,0,2019,England,2,29,0,0,nan,nan
Sand_md,Sand_for_fill,nan,2019,England,5,29,0,0,nan,nan
Gravel_md,Sand_for_fill,0,2019,England,6,29,0,0,nan,nan
Sand_ex,Gravel_for_fill,0,2019,England,3,30,0,0,nan,nan
Gravel_ex,Gravel_for_fill,nan,2019,England,4,30,0,0,nan,nan
Crushed_Rock_ex,Gravel_for_fill,0,2019,England,2,30,0,0,nan,nan
Sand_md,Gravel_for_fill,0,2019,England,5,30,0,0,nan,nan
Gravel_md,Gravel_for_fill,nan,2019,England,6,30,0,0,nan,nan
Crushed_Rock_ex,Crushed_Rock_for_fill,nan,2019,England,2,31,0,0,nan,nan


Processing/Production,Sand_and_Gravel_for_fill,nan,2019,England,6,19,1,1,7-8-9-10-11-12,29-30
Sand_pr,Sand_for_fill,nan,2019,England,7,29,0,0,nan,nan
Gravel_pr,Sand_for_fill,0,2019,England,8,29,0,0,nan,nan
Crushed_Rock_pr,Sand_for_fill,0,2019,England,9,29,0,0,nan,nan
Secondary_Aggregates_pr,Sand_for_fill,0,2019,England,10,29,0,0,nan,nan
Recycled_Processing/Production_Waste,Sand_for_fill,0,2019,England,11,29,0,0,nan,nan
C&D_Waste_pr,Sand_for_fill,nan,2019,England,12,29,0,0,nan,nan
Sand_pr,Gravel_for_fill,0,2019,England,7,30,0,0,nan,nan
Gravel_pr,Gravel_for_fill,nan,2019,England,8,30,0,0,nan,nan
Crushed_Rock_pr,Gravel_for_fill,0,2019,England,9,30,0,0,nan,nan
Secondary_Aggregates_pr,Gravel_for_fill,0,2019,England,10,30,0,0,nan,nan
Recycled_Processing/Production_Waste,Gravel_for_fill,0,2019,England,11,30,0,0,nan,nan
C&D_Waste_pr,Gravel_for_fill,nan,2019,England,12,30,0,0,nan,nan
Processing/Production,Crushed_Rock_for_fill,nan,2019,England,6,31,1,0,7-8-9-10-11-12,nan
Sand_pr,Crushed_Rock_for_fill,0,2019,England,7,31,0,0,nan,nan
Gravel_pr,Crushed_Rock_for_fill,0,2019,England,8,31,0,0,nan,nan
Crushed_Rock_pr,Crushed_Rock_for_fill,nan,2019,England,9,31,0,0,nan,nan
Secondary_Aggregates_pr,Crushed_Rock_for_fill,0,2019,England,10,31,0,0,nan,nan
Recycled_Processing/Production_Waste,Crushed_Rock_for_fill,0,2019,England,11,31,0,0,nan,nan
C&D_Waste_pr,Crushed_Rock_for_fill,nan,2019,England,12,31,0,0,nan,nan


Crushed_Rock_td,Aggregate_Use,nan,2019,England,46,32,0,0,nan,nan


C&D_Waste,Lanfill,nan,2019,England,28,23,1,1,35-36,37-38
Demolition,C&D_Waste_lf,nan,2019,England,35,37,0,0,nan,nan
Deconstruction,C&D_Waste_lf,0,2019,England,36,37,0,0,nan,nan
Demolition,Manufacturing_Waste_lf,0,2019,England,35,38,0,0,nan,nan
Deconstruction,Manufacturing_Waste_lf,0,2019,England,36,38,0,0,nan,nan


Extraction,Extraction_Waste,nan,2019,England,1,25,1,1,2-3-4-5-6,41
Sand_ex,Overburden_and_interburden_owp,nan,2019,England,3,41,0,0,nan,nan
Gravel_ex,Overburden_and_interburden_owp,nan,2019,England,4,41,0,0,nan,nan
Crushed_Rock_ex,Overburden_and_interburden_owp,nan,2019,England,2,41,0,0,nan,nan
Sand_md,Overburden_and_interburden_owp,nan,2019,England,5,41,0,0,nan,nan
Gravel_md,Overburden_and_interburden_owp,nan,2019,England,6,41,0,0,nan,nan


Processing/Production,Processing/Production_Waste,nan,2019,England,6,26,1,1,7-8-9-10-11-12,40
Sand_pr,Scalpings_and_Fines_owp,nan,2019,England,7,40,0,0,nan,nan
Gravel_pr,Scalpings_and_Fines_owp,nan,2019,England,8,40,0,0,nan,nan
Crushed_Rock_pr,Scalpings_and_Fines_owp,nan,2019,England,9,40,0,0,nan,nan
Secondary_Aggregates_pr,Scalpings_and_Fines_owp,nan,2019,England,10,40,0,0,nan,nan
Recycled_Processing/Production_Waste,Scalpings_and_Fines_owp,0,2019,England,11,40,0,0,nan,nan
C&D_Waste_pr,Scalpings_and_Fines_owp,nan,2019,England,12,40,0,0,nan,nan


Manufacturing,Manfacturing_Waste,nan,2019,England,8,27,1,1,13-14-15-16-17-18-19-20,38-39
Concreting_Sand,Manufacturing_Waste_lf,nan,2019,England,13,38,0,0,nan,nan
Concreting_Gravel,Manufacturing_Waste_lf,nan,2019,England,14,38,0,0,nan,nan
Concreting_Crushed_Rock,Manufacturing_Waste_lf,nan,2019,England,15,38,0,0,nan,nan
Concreting_C&D,Manufacturing_Waste_lf,nan,2019,England,16,38,0,0,nan,nan
Asphalt_Sand,Manufacturing_Waste_lf,nan,2019,England,17,38,0,0,nan,nan
Asphalt_Gravel,Manufacturing_Waste_lf,nan,2019,England,18,38,0,0,nan,nan
Asphalt_Crushed_Rock,Manufacturing_Waste_lf,nan,2019,England,19,38,0,0,nan,nan
Mortar_Sand,Manufacturing_Waste_lf,nan,2019,England,20,38,0,0,nan,nan
Concreting_Sand,Manufacturing_Waste_owp,nan,2019,England,13,39,0,0,nan,nan
Concreting_Gravel,Manufacturing_Waste_owp,nan,2019,England,14,39,0,0,nan,nan
Concreting_Crushed_Rock,Manufacturing_Waste_owp,nan,2019,England,15,39,0,0,nan,nan
Concreting_C&D,Manufacturing_Waste_owp,nan,2019,England,16,39,0,0,nan,nan
Asphalt_Sand,Manufacturing_Waste_owp,nan,2019,England,17,39,0,0,nan,nan
Asphalt_Gravel,Manufacturing_Waste_owp,nan,2019,England,18,39,0,0,nan,nan
Asphalt_Crushed_Rock,Manufacturing_Waste_owp,nan,2019,England,19,39,0,0,nan,nan
Mortar_Sand,Manufacturing_Waste_owp,nan,2019,England,20,39,0,0,nan,nan


Use,Demolition,nan,2019,England,13,35,1,0,21-22-23-24-25-26-27-28-29-30-31-32-33-34,nan
Road_Sand,Demolition,nan,2019,England,21,35,0,0,nan,nan
Road_Gravel,Demolition,nan,2019,England,22,35,0,0,nan,nan
Road_Crushed_Rock,Demolition,nan,2019,England,23,35,0,0,nan,nan
Railway_ballast,Demolition,nan,2019,England,24,35,0,0,nan,nan
Other_inf,Demolition,nan,2019,England,25,35,0,0,nan,nan
Buildings_Sand,Demolition,nan,2019,England,26,35,0,0,nan,nan
Buildings_Gravel,Demolition,nan,2019,England,27,35,0,0,nan,nan
Buildings_Crushed_Rock,Demolition,nan,2019,England,28,35,0,0,nan,nan
Sand_for_fill,Demolition,0,2019,England,29,35,0,0,nan,nan
Gravel_for_fill,Demolition,0,2019,England,30,35,0,0,nan,nan
Crushed_Rock_for_fill,Demolition,0,2019,England,31,35,0,0,nan,nan
Aggregate_use,Demolition,0,2019,England,32,35,0,0,nan,nan
Non_Aggregate_use,Demolition,0,2019,England,33,35,0,0,nan,nan
Recycled_Deconstruction_Material,Demolition,0,2019,England,34,35,0,0,nan,nan


Use,Deconstruction,nan,2019,England,13,36,1,0,21-22-23-24-25-26-27-28-29-30-31-32-33-34,nan
Road_Sand,Deconstruction,0,2019,England,21,36,0,0,nan,nan
Road_Gravel,Deconstruction,0,2019,England,22,36,0,0,nan,nan
Road_Crushed_Rock,Deconstruction,0,2019,England,23,36,0,0,nan,nan
Railway_ballast,Deconstruction,0,2019,England,24,36,0,0,nan,nan
Other_inf,Deconstruction,nan,2019,England,25,36,0,0,nan,nan
Buildings_Sand,Deconstruction,nan,2019,England,26,36,0,0,nan,nan
Buildings_Gravel,Deconstruction,nan,2019,England,27,36,0,0,nan,nan
Buildings_Crushed_Rock,Deconstruction,nan,2019,England,28,36,0,0,nan,nan
Sand_for_fill,Deconstruction,0,2019,England,29,36,0,0,nan,nan
Gravel_for_fill,Deconstruction,0,2019,England,30,36,0,0,nan,nan
