Indexes,flownumberfrom,flownumberto,parentflownumberfrom,parentflownumberto,navigation,name,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,prior mean,prior sd
flows[111],27,36,0,0,27-36-0-0,Buildings_Gravel_Deconstruction,131.79,48.57,40.437,211.53,0.42,0.3,11328,6952,1,302,604
flows[112],28,35,0,0,28-35-0-0,Buildings_Crushed_Rock_Demolition,11554.52,3668.7,4920.758,18468.9,40.94,28.95,7703,10011,1,6177,12354
flows[113],28,36,0,0,28-36-0-0,Buildings_Crushed_Rock_Deconstruction,415.76,144.11,148.844,671.036,1.73,1.22,7150,10171,1,942,1884
flows[114],35,12,0,0,35-12-0-0,Demolition_C&D_Waste_pr,28770.91,2617.99,23795.919,33632.899,27.52,19.46,8986,11881,1,34379,68758
flows[115],35,16,0,0,35-16-0-0,Demolition_Concreting_C&D,13905.48,7079.97,1781.443,26014.257,112.4,79.48,3660,4877,1,7196,14392
flows[116],35,37,0,0,35-37-0-0,Demolition_C&D_Waste_lf,18847.8,10464.03,90.622,36279.517,167.81,118.66,3615,5171,1,13858,27716
flows[117],36,11,0,0,36-11-0-0,Deconstruction_Recycled_Deconstruction_Material,1591.65,239.19,1091.645,1988.728,2.38,1.69,10080,10605,1,1000,3162
flows[118],40,11,0,0,40-11-0-0,Scalpings_and_Fines_owp_Recycled_Processing/Production_Waste,70.75,69.72,0.011,194.663,0.46,0.35,12473,9106,1,7380,14760
flows[119],41,29,0,0,41-29-0-0,Overburden_and_interburden_owp_Sand_for_fill,3079.14,2157.24,1.653,6860.186,23.18,16.4,4871,5006,1,1634,3268
flows[120],41,30,0,0,41-30-0-0,Overburden_and_interburden_owp_Gravel_for_fill,4566.32,3162.28,2.669,10008.264,27.3,19.3,9898,6555,1,2451,4902
flows[121],41,31,0,0,41-31-0-0,Overburden_and_interburden_owp_Crushed_Rock_for_fill,13208.64,7765.93,0.93,26317.011,70.97,50.19,10902,9180,1,7640,15280
flows[122],42,13,0,0,42-13-0-0,Land_Won_Sand_Concreting_Sand,153.22,41.61,74.098,231.092,0.32,0.23,16421,10188,1,149,298
flows[123],42,17,0,0,42-17-0-0,Land_Won_Sand_Asphalt_Sand,23.07,7.09,9.533,36.912,0.05,0.04,18140,8291,1,22,44
flows[124],42,20,0,0,42-20-0-0,Land_Won_Sand_Mortar_Sand,18.79,6.07,7.311,29.813,0.09,0.06,4659,1805,1,19,38
flows[125],43,14,0,0,43-14-0-0,Land_Won_Gravel_Concreting_Gravel,257.58,47.05,171.743,348.44,0.39,0.28,14256,13862,1,247,494
flows[126],43,18,0,0,43-18-0-0,Land_Won_Gravel_Asphalt_Gravel,38.64,11.78,16.986,61.284,0.09,0.06,15917,8125,1,37,74
flows[127],44,13,0,0,44-13-0-0,Marine_Dredged_Sand_Concreting_Sand,13.67,3.69,6.527,20.615,0.03,0.02,16375,10075,1,13,26
flows[128],44,17,0,0,44-17-0-0,Marine_Dredged_Sand_Asphalt_Sand,2.04,0.64,0.8,3.228,0.01,0.01,5525,2749,1,2,4
flows[129],44,20,0,0,44-20-0-0,Marine_Dredged_Sand_Mortar_Sand,1.71,0.53,0.743,2.734,0,0,11011,6068,1,2,4
flows[130],45,14,0,0,45-14-0-0,Marine_Dredged_Gravel_Concreting_Gravel,22.79,4.23,14.976,30.79,0.06,0.04,5968,5981,1,22,44
flows[131],45,18,0,0,45-18-0-0,Marine_Dredged_Gravel_Asphalt_Gravel,3.41,1.03,1.479,5.388,0.01,0,19950,9150,1,3,6
flows[132],46,15,0,0,46-15-0-0,Crushed_Rock_td_Concreting_Crushed_Rock,7003.28,740.64,5609.475,8462.049,4.78,3.38,23888,13284,1,6940,13880
flows[133],46,19,0,0,46-19-0-0,Crushed_Rock_td_Asphalt_Crushed_Rock,1013.95,316.67,430.067,1639.869,3.19,2.26,9675,7775,1,1041,2082
flows[134],46,32,0,0,46-32-0-0,Crushed_Rock_td_Aggregate_Use,1833.58,1244.51,0.451,3986.414,12.49,8.83,8106,6237,1,887,1774
flows[135],47,10,0,0,47-10-0-0,Secondary_Aggregates_Secondary_Aggregates_pr,1964.81,478.6,1037.917,2847.658,5.28,3.74,8078,6670,1,5330,10660
flows[136],48,7,0,0,48-7-0-0,Marine_Dredged_Outside_England_Waters_Sand_pr,242.99,64.52,125.714,367.562,0.83,0.58,5858,10707,1,240,480
flows[137],48,8,0,0,48-8-0-0,Marine_Dredged_Outside_England_Waters_Gravel_pr,361.77,69.41,238.908,497.73,0.56,0.4,15211,12683,1,360,720
,,,,,,,,,,,,,,,,,
,,,,,,,,,s,,,,,,,,
