From,to,quantity,time,location,Flownumberfrom,Flownumberto,ParentProcessFlowfrom,ParentProcessFlowto,Subprocessnumbersfrom,Subprocessnumbersto
Concreting_C&D,Manufacturing_Waste_owp,377,2019,England,16,39,0,0,nan,nan
Asphalt_Sand,Manufacturing_Waste_owp,27,2019,England,17,39,0,0,nan,nan
Asphalt_Gravel,Manufacturing_Waste_owp,41,2019,England,18,39,0,0,nan,nan
Asphalt_Crushed_Rock,Manufacturing_Waste_owp,127,2019,England,19,39,0,0,nan,nan
Mortar_Sand,Manufacturing_Waste_owp,163,2019,England,20,39,0,0,nan,nan


Use,Demolition,36446,2019,England,13,35,1,0,21-22-23-24-25-26-27-28-29-30-31-32-33-34,nan
Road_Sand,Demolition,1395,2019,England,21,35,0,0,nan,nan
Road_Gravel,Demolition,2092,2019,England,22,35,0,0,nan,nan
Road_Crushed_Rock,Demolition,6520,2019,England,23,35,0,0,nan,nan
Railway_ballast,Demolition,105,2019,England,24,35,0,0,nan,nan
Other_inf,Demolition,16853,2019,England,25,35,0,0,nan,nan
Buildings_Sand,Demolition,1321,2019,England,26,35,0,0,nan,nan
Buildings_Gravel,Demolition,1982,2019,England,27,35,0,0,nan,nan
Buildings_Crushed_Rock_Sand,Demolition,6177,2019,England,28,35,0,0,nan,nan



Use,Deconstruction,4050,2019,England,13,36,1,0,21-22-23-24-25-26-27-28-29-30-31-32-33-34,nan
Other_inf,Deconstruction,2603,2019,England,25,36,0,0,nan,nan
Buildings_Sand,Deconstruction,202,2019,England,26,36,0,0,nan,nan
Buildings_Gravel,Deconstruction,302,2019,England,27,36,0,0,nan,nan
Buildings_Crushed_Rock_Sand,Deconstruction,942,2019,England,28,36,0,0,nan,nan
